iter	Passed	Remaining
144	1287	7593
145	1294	7573
146	1301	7552
147	1308	7532
148	1315	7514
149	1324	7505
150	1332	7494
151	1339	7475
152	1346	7455
153	1353	7436
154	1360	7416
155	1366	7395
156	1374	7379
157	1381	7360
158	1388	7342
159	1394	7323
160	1401	7305
161	1408	7287
162	1415	7269
163	1423	7255
164	1430	7236
165	1437	7221
166	1443	7202
167	1451	7187
168	1458	7170
169	1464	7150
170	1471	7133
171	1477	7114
172	1485	7098
173	1491	7080
174	1497	7061
175	1505	7046
176	1511	7028
177	1519	7015
178	1526	6999
179	1533	6986
180	1540	6971
181	1548	6959
182	1555	6943
183	1562	6928
184	1569	6913
185	1575	6896
186	1583	6882
187	1589	6866
188	1596	6851
189	1604	6838
190	1610	6823
191	1618	6810
192	1624	6794
193	1632	6780
194	1639	6767
195	1645	6751
196	1656	6753
197	1665	6746
198	1672	6733
199	1681	6724
200	1688	6710
201	1695	6696
202	1702	6684
203	1710	6672
204	1719	6666
205	1726	6653
206	1733	6640
207	1740	6627
208	1747	6615
209	1754	6601
210	1761	6586
211	1768	6573
212	1777	6566
213	1784	6552
214	1790	6537
215	1797	6524
216	1804	6509
217	1810	6495
218	1818	6486
219	1825	6472
220	1833	6461
221	1839	6448
222	1847	6436
223	1854	6423
224	1861	6411
225	1868	6399
226	1875	6385
227	1882	6374
228	1889	6361
229	1896	6348
230	1903	6336
231	1910	6323
232	1917	6310
233	1923	6298
234	1930	6285
235	1937	6273
236	1944	6260
237	1951	6247
238	1958	6234
239	1965	6224
240	1972	6213
241	1979	6200
242	1985	6186
243	1992	6174
244	1999	6162
245	2006	6150
246	2013	6138
247	2020	6127
248	2027	6115
249	2034	6103
250	2041	6092
251	2048	6080
252	2055	6069
253	2062	6058
254	2069	6046
255	2076	6035
256	2083	6023
257	2091	6013
258	2097	6000
259	2105	5993
260	2112	5982
261	2119	5971
262	2126	5959
263	2133	5948
264	2140	5936
265	2147	5924
266	2153	5912
267	2160	5900
268	2168	5891
269	2175	5880
270	2185	5879
271	2195	5875
272	2203	5869
273	2211	5860
274	2221	5856
275	2229	5847
276	2236	5838
277	2244	5829
278	2252	5821
279	2260	5811
280	2268	5803
281	2275	5794
282	2283	5786
283	2291	5777
284	2299	5768
285	2307	5760
286	2317	5757
287	2325	5748
288	2333	5740
289	2340	5730
290	2349	5723
291	2356	5713
292	2364	5704
293	2371	5695
294	2379	5686
295	2387	5678
296	2395	5670
297	2403	5662
298	2412	5655
299	2420	5648
300	2428	5638
301	2436	5631
302	2443	5621
303	2452	5614
304	2459	5604
305	2467	5596
306	2475	5587
307	2482	5578
308	2490	5568
309	2501	5568
310	2510	5562
311	2519	5555
312	2526	5546
313	2534	5537
314	2542	5529
315	2550	5521
316	2558	5512
317	2566	5504
318	2574	5496
319	2582	5487
320	2589	5478
321	2598	5470
322	2606	5462
323	2614	5454
324	2621	5445
325	2629	5436
326	2637	5428
327	2645	5421
328	2654	5413
329	2664	5408
330	2672	5400
331	2680	5393
332	2689	5386
333	2698	5380
334	2706	5372
335	2715	5365
336	2723	5357
337	2731	5350
338	2740	5342
339	2748	5336
340	2758	5331
341	2766	5323
342	2776	5317
343	2784	5309
344	2792	5302
345	2800	5293
346	2808	5285
347	2817	5278
348	2824	5269
349	2832	5260
350	2839	5250
351	2848	5243
352	2856	5235
353	2865	5228
354	2876	5225
355	2885	5219
356	2895	5214
357	2906	5212
358	2916	5206
359	2925	5200
360	2934	5194
361	2942	5186
362	2950	5176
363	2958	5169
364	2965	5159
365	2974	5151
366	2981	5142
367	2990	5135
368	2998	5127
369	3007	5120
370	3015	5111
371	3023	5104
372	3032	5097
373	3040	5089
374	3048	5080
375	3056	5072
376	3064	5063
377	3072	5055
378	3079	5046
379	3088	5039
380	3097	5032
381	3114	5037
382	3122	5030
383	3130	5021
384	3137	5012
385	3145	5004
386	3154	4996
387	3162	4987
388	3170	4980
389	3178	4972
390	3188	4965
391	3195	4956
392	3203	4947
393	3211	4938
394	3219	4930
395	3226	4921
396	3234	4913
397	3242	4905
398	3250	4896
399	3258	4888
400	3266	4879
401	3274	4871
402	3282	4862
403	3292	4856
404	3300	4849
405	3310	4843
406	3318	4835
407	3326	4826
408	3334	4818
409	3342	4809
410	3349	4799
411	3358	4793
412	3366	4785
413	3374	4776
414	3382	4768
415	3391	4760
416	3399	4752
417	3407	4743
418	3415	4735
419	3423	4727
420	3431	4719
421	3439	4711
422	3447	4702
423	3456	4695
424	3465	4689
425	3473	4680
426	3481	4671
427	3489	4663
428	3496	4654
429	3504	4646
430	3512	4637
431	3520	4629
432	3528	4620
433	3537	4613
434	3545	4604
435	3553	4596
436	3560	4587
437	3568	4579
438	3576	4570
439	3584	4561
440	3592	4553
441	3600	4545
442	3608	4537
443	3616	4529
444	3624	4520
445	3632	4511
446	3639	4502
447	3646	4493
448	3653	4483
449	3660	4473
450	3667	4464
451	3674	4455
452	3681	4445
453	3688	4436
454	3697	4428
455	3704	4419
456	3711	4409
457	3718	4400
458	3725	4391
459	3733	4382
460	3741	4374
461	3748	4365
462	3755	4355
463	3762	4346
464	3769	4337
465	3776	4327
466	3783	4318
467	3790	4309
468	3797	4299
469	3804	4290
470	3811	4281
471	3818	4271
472	3825	4262
473	3832	4253
474	3839	4243
475	3846	4234
476	3853	4225
477	3861	4216
478	3868	4207
479	3875	4198
480	3882	4189
481	3889	4179
482	3896	4171
483	3903	4161
484	3910	4152
485	3917	4143
486	3924	4134
487	3931	4125
488	3938	4115
489	3945	4106
490	3952	4097
491	3960	4088
492	3966	4079
493	3973	4069
494	3981	4061
495	3989	4053
496	3997	4046
497	4007	4039
498	4016	4032
499	4025	4025
500	4034	4018
501	4042	4010
502	4050	4002
503	4058	3993
504	4065	3984
505	4072	3976
506	4079	3966
507	4086	3958
508	4095	3950
509	4102	3941
510	4110	3933
511	4117	3924
512	4124	3915
513	4131	3906
514	4138	3897
515	4145	3888
516	4152	3879
517	4159	3870
518	4166	3861
519	4175	3854
520	4183	3846
521	4191	3838
522	4198	3828
523	4205	3819
524	4212	3811
525	4218	3801
526	4226	3793
527	4233	3784
528	4240	3775
529	4247	3766
530	4253	3757
531	4260	3748
532	4267	3738
533	4274	3730
534	4281	3720
535	4287	3711
536	4294	3702
537	4304	3696
538	4311	3687
539	4319	3679
540	4326	3670
541	4333	3661
542	4340	3652
543	4347	3643
544	4354	3635
545	4361	3626
546	4368	3617
547	4375	3608
548	4381	3599
549	4389	3591
550	4395	3582
551	4402	3573
552	4409	3564
553	4415	3554
554	4423	3546
555	4429	3537
556	4437	3529
557	4443	3520
558	4450	3511
559	4457	3502
560	4464	3493
561	4471	3484
562	4477	3475
563	4485	3467
564	4492	3459
565	4499	3450
566	4506	3441
567	4513	3432
568	4520	3424
569	4528	3416
570	4537	3408
571	4544	3400
572	4551	3391
573	4558	3383
574	4565	3374
575	4572	3365
576	4579	3357
577	4586	3348
578	4593	3339
579	4600	3331
580	4607	3322
581	4613	3313
582	4621	3305
583	4628	3296
584	4635	3288
585	4642	3279
586	4649	3271
587	4656	3262
588	4662	3253
589	4668	3244
590	4675	3235
591	4681	3226
592	4689	3218
593	4696	3209
594	4703	3201
595	4710	3192
596	4717	3184
597	4724	3176
598	4733	3168
599	4741	3160
600	4748	3152
601	4755	3144
602	4763	3136
603	4770	3127
604	4778	3120
605	4786	3111
606	4793	3103
607	4800	3095
608	4808	3087
609	4815	3078
610	4822	3070
611	4829	3061
612	4836	3053
613	4843	3044
614	4850	3036
615	4858	3028
616	4864	3019
617	4874	3012
618	4880	3004
619	4888	2995
620	4895	2987
621	4902	2979
622	4908	2970
623	4915	2961
624	4922	2953
625	4930	2945
626	4937	2937
627	4944	2929
628	4952	2920
629	4958	2912
630	4965	2903
631	4972	2895
632	4979	2886
633	4985	2878
634	4992	2869
635	4999	2861
636	5006	2852
637	5013	2844
638	5020	2836
639	5027	2828
640	5034	2819
641	5041	2811
642	5048	2803
643	5056	2794
644	5063	2786
645	5070	2778
646	5077	2770
647	5084	2761
648	5091	2753
649	5098	2745
650	5105	2736
651	5112	2728
652	5119	2720
653	5126	2712
654	5134	2704
655	5141	2696
656	5149	2688
657	5158	2681
658	5165	2673
659	5172	2664
660	5178	2656
661	5185	2647
662	5192	2639
663	5199	2631
664	5206	2622
665	5212	2614
666	5219	2606
667	5227	2597
668	5235	2590
669	5242	2582
670	5250	2574
671	5258	2566
672	5269	2560
673	5276	2551
674	5284	2544
675	5291	2536
676	5300	2528
677	5307	2520
678	5314	2512
679	5321	2504
680	5328	2496
681	5335	2487
682	5342	2479
683	5350	2471
684	5357	2463
685	5365	2455
686	5373	2447
687	5380	2440
688	5387	2431
689	5394	2423
690	5401	2415
691	5408	2407
692	5416	2399
693	5423	2391
694	5430	2383
695	5437	2374
696	5444	2366
697	5451	2358
698	5458	2350
699	5466	2342
700	5473	2334
701	5480	2326
702	5487	2318
703	5495	2310
704	5502	2302
705	5509	2294
706	5516	2286
707	5522	2277
708	5531	2270
709	5538	2262
710	5545	2253
711	5552	2245
712	5559	2237
713	5566	2229
714	5573	2221
715	5581	2213
716	5588	2205
717	5596	2197
718	5603	2189
719	5610	2181
720	5617	2173
721	5624	2165
722	5631	2157
723	5638	2149
724	5646	2141
725	5653	2133
726	5661	2126
727	5669	2118
728	5677	2110
729	5684	2102
730	5691	2094
731	5698	2086
732	5706	2078
733	5714	2070
734	5721	2062
735	5728	2054
736	5738	2047
737	5745	2039
738	5752	2031
739	5760	2023
740	5767	2015
741	5774	2007
742	5781	1999
743	5788	1991
744	5796	1983
745	5802	1975
746	5810	1967
747	5818	1960
748	5825	1952
749	5833	1944
750	5840	1936
751	5847	1928
752	5854	1920
753	5861	1912
754	5868	1904
755	5876	1896
756	5883	1888
757	5890	1880
758	5897	1872
759	5906	1865
760	5912	1857
761	5920	1849
762	5927	1841
763	5933	1832
764	5940	1824
765	5947	1816
766	5955	1809
767	5962	1801
768	5969	1793
769	5976	1785
770	5983	1777
771	5991	1769
772	5997	1761
773	6005	1753
774	6012	1745
775	6020	1737
776	6027	1729
777	6034	1721
778	6041	1713
779	6048	1705
780	6056	1698
781	6064	1690
782	6071	1682
783	6078	1674
784	6086	1666
785	6092	1658
786	6100	1651
787	6107	1643
788	6115	1635
789	6122	1627
790	6129	1619
791	6137	1611
792	6144	1603
793	6152	1596
794	6160	1588
795	6168	1580
796	6176	1573
797	6183	1565
798	6191	1557
799	6199	1549
800	6208	1542
801	6216	1534
802	6224	1527
803	6233	1519
804	6241	1511
805	6251	1504
806	6259	1496
807	6267	1489
808	6275	1481
809	6285	1474
810	6292	1466
811	6301	1458
812	6308	1450
813	6315	1443
814	6322	1435
815	6330	1427
816	6337	1419
817	6344	1411
818	6352	1403
819	6359	1396
820	6367	1388
821	6374	1380
822	6381	1372
823	6388	1364
824	6396	1356
825	6403	1348
826	6411	1341
827	6418	1333
828	6425	1325
829	6433	1317
830	6440	1309
831	6447	1301
832	6455	1294
833	6463	1286
834	6470	1278
835	6477	1270
836	6484	1262
837	6491	1254
838	6499	1247
839	6506	1239
840	6513	1231
841	6520	1223
842	6529	1216
843	6536	1208
844	6545	1200
845	6551	1192
846	6559	1184
847	6566	1176
848	6573	1169
849	6580	1161
850	6587	1153
851	6594	1145
852	6601	1137
853	6608	1129
854	6616	1122
855	6623	1114
856	6631	1106
857	6639	1098
858	6647	1091
859	6655	1083
860	6663	1075
861	6671	1067
862	6679	1060
863	6686	1052
864	6694	1044
865	6701	1036
866	6710	1029
867	6717	1021
868	6726	1014
869	6734	1006
870	6742	998
871	6749	990
872	6756	982
873	6763	975
874	6770	967
875	6777	959
876	6784	951
877	6792	943
878	6799	935
879	6806	928
880	6814	920
881	6821	912
882	6828	904
883	6835	896
884	6842	889
885	6851	881
886	6858	873
887	6865	865
888	6872	858
889	6879	850
890	6886	842
891	6893	834
892	6900	826
893	6908	819
894	6915	811
895	6922	803
896	6929	795
897	6936	787
898	6943	780
899	6950	772
900	6957	764
901	6964	756
902	6971	748
903	6978	741
904	6987	733
905	6995	725
906	7004	718
907	7012	710
908	7021	702
909	7030	695
910	7039	687
911	7047	680
912	7055	672
913	7062	664
914	7069	656
915	7076	648
916	7083	641
917	7090	633
918	7098	625
919	7105	617
920	7113	610
921	7121	602
922	7128	594
923	7138	587
924	7145	579
925	7153	571
926	7160	563
927	7167	556
928	7174	548
929	7180	540
930	7187	532
931	7194	524
932	7201	517
933	7208	509
934	7214	501
935	7222	493
936	7229	486
937	7237	478
938	7246	470
939	7253	463
940	7261	455
941	7268	447
942	7278	439
943	7286	432
944	7293	424
945	7300	416
946	7307	408
947	7314	401
948	7321	393
949	7328	385
950	7335	377
951	7342	370
952	7349	362
953	7356	354
954	7364	347
955	7371	339
956	7378	331
957	7386	323
958	7393	316
959	7400	308
960	7407	300
961	7414	292
962	7421	285
963	7428	277
964	7435	269
965	7442	261
966	7450	254
967	7457	246
968	7464	238
969	7471	231
970	7478	223
971	7485	215
972	7492	207
973	7499	200
974	7506	192
975	7513	184
976	7521	177
977	7529	169
978	7537	161
979	7545	153
980	7554	146
981	7562	138
982	7569	130
983	7576	123
984	7583	115
985	7590	107
986	7597	100
987	7604	92
988	7611	84
989	7618	76
990	7625	69
991	7632	61
992	7640	53
993	7649	46
994	7656	38
995	7664	30
996	7671	23
997	7678	15
998	7685	7
999	7692	0
